title,content,product
Purrrfect-o!,"I would give it 5 stars for its sensitivity, accuracy, speed and smoothness. However, I took 1 star from it because it's ADDICTIVE. If you get used to this you won't be able to settle for less. I use this for gaming but switching back to the ₹200 generic mouse for work, takes some getting use to. CS-GO review: If you're switching from a lower dpi mouse to this, it'll take you a few games to get accustomed to the sensitivity and you'll probably suck at best, but once you've done that, the result is sweet.","Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
Focus is osm,I love it good for gaming,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
Amazing Mouse even if a little pricey,"This is the first Razer mouse I have purchased and so far I am pleased with the experience. The build is solid, the weight is light and tracking is very accurate. My only gripe with the product is their software that prevents your RGB customization from saving in the Windows lockscreen (every other RGB product I own saves the settings except Razer).","Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
Awesome mouse,Superrrr,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
Perfection,Just go for it Without any hesitation. Using it for a few days now. Just a mind blowing mouse. Performance in Fps gaming improved a lot.,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
"Speed flex cable is great, awesome quality sensor able to to sense high speed movement",,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
Amazing mouse with an underwhelming software,The mouse in itself is too good. The overall build quality might not be at par with the price tag of the mouse but it is not noticeable and can be overlooked when compared to other attributes of this mouse. One thing I did not like about the overall Razer experience was the Synapse software that is used to store on board profiles and customize the buttons and RGB. Please note that you will not be able to retain the RGB settings of a particular profile if you close the software from running in the background. It retains everything except the RGB profiles so it was a turn off for me. If you do not care that much about color then it is not problem at all.,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
What a great mouse ..just awesome,Believe  me guys that in hand feel of this mouse is really good and wheel color what to say ...just superb. I really love clicking on this mouse it feels a so smooth i was having earlier logitech 402 that end up in double clicking issue after 2 years of use . That mouse was decent moues though but believe me guys logitech mouse nowhere near to build quality of this one ...really loved the product...,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
One of the best ever! It's hosted!,"Light af, a little smushy clicks, but dope shape, and I'm all for the shape!","Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
Really good gaming mouse but a bit overpriced,I recieved this mouse (razer deathadder v2) today and i can truly say that this is the best gaming mouse i have ever used pros - 1. The shape of this ergonomic mouse is so good. It feels really comfortable to use. My hands are 17.5 cm which is the average hand size and i can use this mouse without any issues for long sessions and i can also recommend this mouse to anyone with the same palm size or greater 2. The rgb lighting on the mouse looks pretty cool 3. The weight of this mouse is only 82 grams which means it is perfect for any kind of fps or fast paced games. I played csgo for hours and enjoyed the experience 4. The overall build quality is amazing. mouse feels sturdy and well built. cons - 1. The clicks feel ok as sometimes you cannot tell whether you have clicked or not if you are using headphones due to them being spongey. You need to hear the sound of the click to confirm 2. Bit overpriced,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
It is truly the best mouse money can buy,"I would to start by saying I have big hands and so I needed something that fit comfortably Let me assure you this is a very well designed mouse, the dpi sensor, mouse clicks and all other components like braided cable feels premium. All in all a very good product","Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
Firm grip and smooth gliding,"Best on the budget, has a very firm grip and light weight, feels like I’m holding air. It has a very high response rate and the clicks are also soothing to hear. Highly recommend for gaming <3","Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
Death adder is so 2015,I don't have a clue how to hold this mouse,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
One of the best,Not the value for money Gaming mouse around 4k it was good.,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
Tracking God !,"Shifter from Razer Viper to DA V2. Build and quality is very good. Tracking is insane. Definitely lighter than previous DA's. PS : I have used the first DA (2007), DA 3500, DA 2013, DA Chroma and DA Elite. This is the best so far !","Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
GOOD BUT EXPENSIVE,I bought this mouse mainly for work. I dont play games that much.  It is good as far as my requirement goes. the only 'con' I found is that the clicking feels cheap.,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
Great one,Its awesome for gamers,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
Razer is the best!,"Awesome Mouse! Been using DeathAdder V2 for a month now. Previously Owned - Razer Mamba Wireless, Logitech G502 Spectrum, and Logitech G502 Hero. Mamba died on me in 2019. G502 Spectrum (2019) and G502 Hero (2019) both had double click issues from the day I received.","Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
All good,Its a superb mouse. I HAVE USED LOGITECH 402....AFTER THAT PALM GRIP IS LITTLE ANNOYING AT FIRST.....IT MIGHT IMPROVE AFTER USE,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
Trustworthh,I am a youtube and facebook official gaming partner with name cute punjaban. You may trust me and mark my words .blind faith on this mouse .,"Razer DeathAdder V2 Wired Gaming Mouse | 8 Programmable Buttons | 20,000 DPI Optical Sensor - Chroma RGB Lighting - Classic Black - RZ01-03210100-R3M1"
